Open,High,Low,Close,Volume,20_day,50_day,b,h,s
0.082589,0.083147,0.082589,0.082589,29433600,0.0851842,0.08583694,0,1,0
0.082031,0.082031,0.081473,0.081473,36467200,0.08540745,0.086049,0,1,0
0.083147,0.083705,0.083147,0.083147,20585600,0.08537955,0.08631686,0,1,0
0.087612,0.08817,0.087612,0.087612,35728000,0.08521215,0.08662936,0,1,0
0.087612,0.08817,0.087612,0.087612,76899200,0.0849052,0.08685256,0,1,0
0.087612,0.087612,0.087054,0.087054,32278400,0.08473775,0.0870646,0,1,0
0.085379,0.085379,0.084821,0.084821,27910400,0.0845982,0.08718736,0,1,0
0.084821,0.085379,0.084821,0.084821,27283200,0.0845982,0.08733246,0,1,0
0.086496,0.087612,0.086496,0.086496,85590400,0.0844029,0.08733246,0,1,0
0.089286,0.089844,0.089286,0.089286,44172800,0.08409595,0.0873771,0,1,0
0.088728,0.088728,0.08817,0.08817,30486400,0.0837332,0.08725432,0,1,0
0.089286,0.089844,0.089286,0.089286,52729600,0.08353785,0.08709806,0,1,0
0.089286,0.089844,0.089286,0.089286,36915200,0.0832309,0.08690832,0,1,0
0.088728,0.088728,0.08817,0.08817,28380800,0.08292395,0.0867967,1,0,0
0.086496,0.086496,0.085938,0.085938,23811200,0.0827007,0.08681902,0,1,0
0.080357,0.080357,0.079799,0.079799,23363200,0.08253325,0.08691946,0,1,0
0.080357,0.080915,0.080357,0.080357,24595200,0.08278435,0.08709804,0,1,0
0.081473,0.082031,0.081473,0.081473,20384000,0.08303545,0.08729894,0,1,0
0.082031,0.082589,0.082031,0.082031,16755200,0.08314705,0.087511,0,1,0
0.084263,0.084821,0.084263,0.084263,27440000,0.08325865,0.08772306,0,1,0
0.087054,0.087612,0.087054,0.087054,39916800,0.08325865,0.08783468,0,1,0
0.081473,0.081473,0.080915,0.080915,21011200,0.0830912,0.08782352,0,1,0
0.080357,0.080357,0.079799,0.079799,22556800,0.0830912,0.0879463,0,1,0
0.081473,0.082031,0.081473,0.081473,35414400,0.0832586,0.0881472,0,1,0
